,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,"(0.7365752458572388, 0.43802374601364136, -0.22603027522563934, 0.9999996423721313)","(0.7418936491012573, 0.4274841547012329, -0.19120892882347107, 0.9999980926513672)","(0.7412620186805725, 0.4272720217704773, -0.1912037879228592, 0.9999974966049194)","(0.7403591275215149, 0.4269002079963684, -0.1912008374929428, 0.9999974966049194)","(0.7379871606826782, 0.4250296652317047, -0.2505555748939514, 0.9999990463256836)","(0.7347561717033386, 0.4230479896068573, -0.2505091428756714, 0.9999988079071045)","(0.7309589385986328, 0.4206394553184509, -0.25050240755081177, 0.9999988079071045)","(0.7169296741485596, 0.42210662364959717, -0.010911543853580952, 0.9999922513961792)","(0.7021653056144714, 0.41277340054512024, -0.2834656536579132, 0.999998927116394)","(0.7187150716781616, 0.44433385133743286, -0.15320979058742523, 0.9999971389770508)","(0.7139573097229004, 0.44125229120254517, -0.23247919976711273, 0.9999990463256836)","(0.6511123180389404, 0.4796079993247986, 0.17995256185531616, 0.9999933242797852)","(0.5839802622795105, 0.43542927503585815, -0.3388894498348236, 0.9999983310699463)","(0.6081656217575073, 0.5292737483978271, 0.36381348967552185, 0.7530301809310913)","(0.4792237877845764, 0.47801876068115234, -0.43489548563957214, 0.9983878135681152)","(0.7320411801338196, 0.5512180328369141, 0.3203870356082916, 0.9750254154205322)","(0.41164785623550415, 0.5330479741096497, -0.4856265187263489, 0.9962349534034729)","(0.7627044916152954, 0.5556118488311768, 0.3239840567111969, 0.9528896808624268)","(0.38291192054748535, 0.5498666167259216, -0.529624342918396, 0.9900993704795837)","(0.7745546698570251, 0.5503745675086975, 0.2713736891746521, 0.9591190814971924)","(0.396271288394928, 0.554482102394104, -0.5376178026199341, 0.9895911812782288)","(0.7634458541870117, 0.5489723086357117, 0.29416850209236145, 0.9504656195640564)","(0.40869227051734924, 0.5508933663368225, -0.4867115616798401, 0.9832965135574341)","(0.525191068649292, 0.5884192585945129, 0.1486513763666153, 0.9999070167541504)","(0.46322473883628845, 0.5705925226211548, -0.14866569638252258, 0.999897837638855)","(0.49736934900283813, 0.686474084854126, 0.12076839059591293, 0.935297966003418)","(0.42472928762435913, 0.6758468151092529, -0.0685531497001648, 0.9885820746421814)","(0.5083149075508118, 0.7887548208236694, 0.17449596524238586, 0.9386547207832336)","(0.2920120060443878, 0.7143000960350037, 0.22793830931186676, 0.9745896458625793)","(0.4933551251888275, 0.8045019507408142, 0.17240263521671295, 0.8332073092460632)","(0.26642414927482605, 0.7145872116088867, 0.24971835315227509, 0.8274301886558533)","(0.5706168413162231, 0.8073897957801819, 0.041565101593732834, 0.9560396075248718)","(0.2759402394294739, 0.7707759141921997, 0.10476458817720413, 0.967421293258667)"
1,"(0.7360086441040039, 0.4385543763637543, -0.2209572046995163, 0.9999996423721313)","(0.7416501641273499, 0.42818230390548706, -0.18555809557437897, 0.9999980926513672)","(0.741025447845459, 0.42784592509269714, -0.18555563688278198, 0.9999974370002747)","(0.7401207089424133, 0.42735278606414795, -0.18556170165538788, 0.9999974370002747)","(0.7377686500549316, 0.4260615110397339, -0.24525681138038635, 0.9999990463256836)","(0.7345765829086304, 0.4242471158504486, -0.24522265791893005, 0.9999988079071045)","(0.7308454513549805, 0.42216554284095764, -0.2452308088541031, 0.9999988079071045)","(0.7162961363792419, 0.4221136271953583, -0.002224329859018326, 0.9999920725822449)","(0.7021702527999878, 0.41395941376686096, -0.27640581130981445, 0.999998927116394)","(0.71866774559021, 0.4447559118270874, -0.1472693532705307, 0.9999970197677612)","(0.7139095664024353, 0.4418225884437561, -0.2270241230726242, 0.9999989867210388)","(0.6513183116912842, 0.47813090682029724, 0.18806639313697815, 0.9999931454658508)","(0.5815339684486389, 0.43563225865364075, -0.32722577452659607, 0.9999982714653015)","(0.6084631085395813, 0.5265213251113892, 0.3895023763179779, 0.7464368939399719)","(0.4772539436817169, 0.4784730076789856, -0.4329923391342163, 0.9983985424041748)","(0.7312942147254944, 0.5514472126960754, 0.3926183879375458, 0.9752873182296753)","(0.4100891053676605, 0.5331275463104248, -0.5081852674484253, 0.9964236617088318)","(0.7634077668190002, 0.5557098388671875, 0.4045659601688385, 0.953502893447876)","(0.381868451833725, 0.5497031807899475, -0.5498141050338745, 0.9906056523323059)","(0.7743222713470459, 0.5505529046058655, 0.3551529347896576, 0.9597607254981995)","(0.3961767256259918, 0.5542790293693542, -0.5701984167098999, 0.9901557564735413)","(0.7619378566741943, 0.5492293834686279, 0.36945050954818726, 0.9513153433799744)","(0.40853193402290344, 0.5506373047828674, -0.5145612359046936, 0.9841732382774353)","(0.5280166268348694, 0.5918651819229126, 0.14538608491420746, 0.9999064803123474)","(0.46382415294647217, 0.5748710036277771, -0.14549411833286285, 0.9998940229415894)","(0.4973730742931366, 0.6874366998672485, 0.12073823064565659, 0.9371115565299988)","(0.42739149928092957, 0.6771005392074585, -0.06855687499046326, 0.9885832071304321)","(0.5083553791046143, 0.788790762424469, 0.1874265968799591, 0.9408025145530701)","(0.2936249375343323, 0.7140079736709595, 0.2398635447025299, 0.9738792777061462)","(0.49346819519996643, 0.8050228953361511, 0.186529278755188, 0.8345141410827637)","(0.2717377841472626, 0.7135215997695923, 0.26602405309677124, 0.8240351676940918)","(0.5796715617179871, 0.8076117038726807, 0.06494985520839691, 0.9566793441772461)","(0.2759355902671814, 0.7708956599235535, 0.1484997272491455, 0.9670467376708984)"
2,"(0.7355301976203918, 0.43855956196784973, -0.21899569034576416, 0.9999995827674866)","(0.7411895990371704, 0.42818450927734375, -0.1840243935585022, 0.9999979734420776)","(0.7405471205711365, 0.427842915058136, -0.18403005599975586, 0.9999972581863403)","(0.7396101951599121, 0.4273461699485779, -0.18404951691627502, 0.9999972581863403)","(0.7372568249702454, 0.42615482211112976, -0.24370449781417847, 0.9999989867210388)","(0.7340101599693298, 0.42442768812179565, -0.24364672601222992, 0.9999986886978149)","(0.7302432656288147, 0.4224746525287628, -0.24366116523742676, 0.9999986886978149)","(0.7155008912086487, 0.42208021879196167, -0.0014626343036070466, 0.9999916553497314)","(0.7021233439445496, 0.41460034251213074, -0.2754514217376709, 0.9999988675117493)","(0.7186457514762878, 0.4447704255580902, -0.1455288678407669, 0.9999969601631165)","(0.7138969898223877, 0.4419616162776947, -0.22515513002872467, 0.999998927116394)","(0.6525356769561768, 0.4778154194355011, 0.18461041152477264, 0.9999934434890747)","(0.5800215005874634, 0.43565571308135986, -0.3176681101322174, 0.999998152256012)","(0.6154043674468994, 0.5266507863998413, 0.37578457593917847, 0.7557647228240967)","(0.4747459292411804, 0.4801010191440582, -0.40031328797340393, 0.9984036087989807)","(0.7338794469833374, 0.5516565442085266, 0.34230872988700867, 0.976938009262085)","(0.40825164318084717, 0.5338706970214844, -0.4649784564971924, 0.9966138005256653)","(0.7683674097061157, 0.5557051301002502, 0.34002283215522766, 0.9564316868782043)","(0.3795852065086365, 0.5497986078262329, -0.5069977641105652, 0.9910991191864014)","(0.7758333086967468, 0.5505460500717163, 0.28942227363586426, 0.9623462557792664)","(0.3938904404640198, 0.55476975440979, -0.5377914309501648, 0.9907036423683167)","(0.7632552981376648, 0.5492390990257263, 0.3176949918270111, 0.9544540047645569)","(0.4058472812175751, 0.5511168241500854, -0.4755304753780365, 0.9850526452064514)","(0.5296995043754578, 0.5926151871681213, 0.13763047754764557, 0.999908983707428)","(0.4649590253829956, 0.5759927034378052, -0.13773386180400848, 0.9998916387557983)","(0.49733439087867737, 0.688710629940033, 0.0991000309586525, 0.9391964077949524)","(0.4299483895301819, 0.6780332326889038, -0.0684148520231247, 0.9877983927726746)","(0.5085347294807434, 0.7889797687530518, 0.2443339228630066, 0.9405150413513184)","(0.29649049043655396, 0.7138155102729797, 0.32593828439712524, 0.9688885807991028)","(0.49613887071609497, 0.8052985668182373, 0.2532576322555542, 0.8283625841140747)","(0.2794013023376465, 0.7126578688621521, 0.3624259829521179, 0.8071079254150391)","(0.5661401748657227, 0.8086474537849426, 0.12440894544124603, 0.9541935920715332)","(0.2754976749420166, 0.770191490650177, 0.24278831481933594, 0.9616419672966003)"
3,"(0.7368804812431335, 0.4385337829589844, -0.24024227261543274, 0.9999995827674866)","(0.7426976561546326, 0.42819565534591675, -0.20320101082324982, 0.9999980926513672)","(0.7421305179595947, 0.42786920070648193, -0.20319104194641113, 0.9999973773956299)","(0.7412375807762146, 0.427391916513443, -0.20318883657455444, 0.9999973773956299)","(0.7389540672302246, 0.4262017011642456, -0.26156434416770935, 0.9999990463256836)","(0.7356951236724854, 0.4244820177555084, -0.26150497794151306, 0.9999987483024597)","(0.7319145202636719, 0.4225299060344696, -0.2615147531032562, 0.9999987483024597)","(0.717120349407196, 0.42228180170059204, -0.008576399646699429, 0.9999920129776001)","(0.7040621638298035, 0.4147426187992096, -0.27863267064094543, 0.999998927116394)","(0.7214156985282898, 0.4447677731513977, -0.16267405450344086, 0.9999971389770508)","(0.7164369225502014, 0.4420050084590912, -0.24097833037376404, 0.9999989867210388)","(0.6560673713684082, 0.47781044244766235, 0.18053457140922546, 0.9999937415122986)","(0.5817879438400269, 0.4356860816478729, -0.31969231367111206, 0.9999982118606567)","(0.617174506187439, 0.5280135273933411, 0.32496771216392517, 0.7587669491767883)","(0.4748745560646057, 0.4803348779678345, -0.40502646565437317, 0.99843430519104)","(0.7353163957595825, 0.548794150352478, 0.2367982715368271, 0.9784783124923706)","(0.4083137512207031, 0.5338360667228699, -0.5066837668418884, 0.9968275427818298)","(0.7707142233848572, 0.5512750744819641, 0.23035629093647003, 0.9593437910079956)","(0.3795698285102844, 0.5484659075737, -0.5514276623725891, 0.9916587471961975)","(0.7772921919822693, 0.5442806482315063, 0.185830220580101, 0.9648860692977905)","(0.39393025636672974, 0.5542415976524353, -0.5790403485298157, 0.9913107752799988)","(0.7648130059242249, 0.542641818523407, 0.21341723203659058, 0.9574338793754578)","(0.40590396523475647, 0.550673246383667, -0.5164936184883118, 0.9860181212425232)","(0.5352122187614441, 0.5935013890266418, 0.13782939314842224, 0.9999129772186279)","(0.4684365391731262, 0.5770066976547241, -0.13796848058700562, 0.9998946785926819)","(0.49994394183158875, 0.6891323328018188, 0.11927436292171478, 0.9419569969177246)","(0.43115437030792236, 0.6795214414596558, -0.0805824026465416, 0.9881294965744019)","(0.5100361704826355, 0.789036750793457, 0.27674591541290283, 0.9429487586021423)","(0.29776257276535034, 0.7137364149093628, 0.30923688411712646, 0.96827232837677)","(0.4983891546726227, 0.8053270578384399, 0.2848370671272278, 0.8286766409873962)","(0.28123387694358826, 0.7125307321548462, 0.34491485357284546, 0.8025246262550354)","(0.5665444135665894, 0.8086833953857422, 0.16641384363174438, 0.9550868272781372)","(0.27549466490745544, 0.7704738974571228, 0.23542183637619019, 0.9611955285072327)"
4,"(0.7381120324134827, 0.43851232528686523, -0.24051037430763245, 0.9999995827674866)","(0.7439029812812805, 0.4282073676586151, -0.20403599739074707, 0.999998152256012)","(0.7433594465255737, 0.4278906285762787, -0.2040233314037323, 0.9999974966049194)","(0.7424744963645935, 0.4274241030216217, -0.20401525497436523, 0.9999974370002747)","(0.7402920126914978, 0.4262511432170868, -0.2615582346916199, 0.9999991059303284)","(0.7370654940605164, 0.42454150319099426, -0.2614923417568207, 0.9999988079071045)","(0.7333019971847534, 0.42258885502815247, -0.26149988174438477, 0.9999987483024597)","(0.7183801531791687, 0.42246997356414795, -0.009851152077317238, 0.9999922513961792)","(0.7053857445716858, 0.41486844420433044, -0.27784520387649536, 0.9999989867210388)","(0.7233564853668213, 0.4447575807571411, -0.16356581449508667, 0.9999972581863403)","(0.7184250950813293, 0.4420410990715027, -0.2409220188856125, 0.9999990463256836)","(0.658243715763092, 0.47785308957099915, 0.17586831748485565, 0.9999940395355225)","(0.5818052887916565, 0.43577659130096436, -0.31039997935295105, 0.9999982714653015)","(0.6212481260299683, 0.5297284126281738, 0.28103387355804443, 0.7643328905105591)","(0.4741283357143402, 0.4809487462043762, -0.40435847640037537, 0.9984599351882935)","(0.7387682199478149, 0.5473406910896301, 0.14563855528831482, 0.9799817800521851)","(0.40790778398513794, 0.53453528881073, -0.5038409233093262, 0.9970170259475708)","(0.776064932346344, 0.5492597222328186, 0.13135255873203278, 0.9621800780296326)","(0.3794094920158386, 0.5484908223152161, -0.5501304864883423, 0.9921629428863525)","(0.7811383605003357, 0.5418981909751892, 0.09187337756156921, 0.9673413634300232)","(0.3938610255718231, 0.554435133934021, -0.5690008401870728, 0.9918561577796936)","(0.7685913443565369, 0.5403211712837219, 0.12322922050952911, 0.9603402614593506)","(0.40574005246162415, 0.5511468052864075, -0.5104823112487793, 0.9868953227996826)","(0.536348819732666, 0.5947799682617188, 0.13720563054084778, 0.9999156594276428)","(0.46930477023124695, 0.5789538621902466, -0.13737982511520386, 0.9998963475227356)","(0.49992677569389343, 0.6906508207321167, 0.12577304244041443, 0.9431782364845276)","(0.43271344900131226, 0.6826679706573486, -0.08661001920700073, 0.9882033467292786)","(0.511096179485321, 0.7895907759666443, 0.29796579480171204, 0.9437056183815002)","(0.2976330518722534, 0.7137454748153687, 0.2959356904029846, 0.9667697548866272)","(0.4995042085647583, 0.8056989908218384, 0.3081963062286377, 0.8264181613922119)","(0.28071728348731995, 0.7124406099319458, 0.33050164580345154, 0.7960675954818726)","(0.5700925588607788, 0.809163510799408, 0.1955471634864807, 0.9542564153671265)","(0.2754494845867157, 0.7702842354774475, 0.2188103348016739, 0.9592967629432678)"
5,"(0.7387588024139404, 0.4385192096233368, -0.23853272199630737, 0.9999995827674866)","(0.7446053624153137, 0.4282893240451813, -0.20241078734397888, 0.9999982714653015)","(0.7440593242645264, 0.4279944598674774, -0.20240183174610138, 0.9999976754188538)","(0.743161141872406, 0.4275495707988739, -0.2023959457874298, 0.999997615814209)","(0.7410967946052551, 0.42637327313423157, -0.26025915145874023, 0.9999991655349731)","(0.7379194498062134, 0.42467787861824036, -0.26019665598869324, 0.9999988675117493)","(0.7341805696487427, 0.42272692918777466, -0.2602028548717499, 0.9999988079071045)","(0.7193179130554199, 0.4228566288948059, -0.007354771252721548, 0.9999927878379822)","(0.7062469720840454, 0.4150945842266083, -0.2770872712135315, 0.9999990463256836)","(0.7241877317428589, 0.4447774291038513, -0.16248929500579834, 0.9999974370002747)","(0.719229519367218, 0.44216468930244446, -0.24003346264362335, 0.9999991059303284)","(0.6595373749732971, 0.47786828875541687, 0.18301823735237122, 0.9999943375587463)","(0.5820791125297546, 0.4357951283454895, -0.31328073143959045, 0.9999983310699463)","(0.6216500401496887, 0.530401349067688, 0.3100237250328064, 0.7719457745552063)","(0.4741784334182739, 0.4809108078479767, -0.4252876341342926, 0.9984951615333557)","(0.7396895885467529, 0.546054482460022, 0.2228701263666153, 0.9814438223838806)","(0.4078214168548584, 0.5346227288246155, -0.5479102730751038, 0.9972061514854431)","(0.7767890691757202, 0.5480964183807373, 0.2183447629213333, 0.9648724794387817)","(0.3788091540336609, 0.5484339594841003, -0.5937192440032959, 0.9926645159721375)","(0.7820148468017578, 0.540798008441925, 0.17453832924365997, 0.9696747064590454)","(0.3938598036766052, 0.5544359087944031, -0.6175692677497864, 0.9923937916755676)","(0.7695820927619934, 0.5391635894775391, 0.19999535381793976, 0.9631097912788391)","(0.40576672554016113, 0.5511997938156128, -0.556056797504425, 0.9877517819404602)","(0.5373062491416931, 0.5945833921432495, 0.1379697620868683, 0.9999188780784607)","(0.4706310033798218, 0.5792937874794006, -0.138183131814003, 0.9998981356620789)","(0.49993324279785156, 0.6908807754516602, 0.12547451257705688, 0.9434770345687866)","(0.43397268652915955, 0.6845057010650635, -0.10218563675880432, 0.9882086515426636)","(0.5124174952507019, 0.7906879782676697, 0.26220640540122986, 0.9428505301475525)","(0.29843321442604065, 0.7137594819068909, 0.28522902727127075, 0.9629483819007874)","(0.5000686645507812, 0.8066526651382446, 0.26790866255760193, 0.8231545090675354)","(0.28148794174194336, 0.712387204170227, 0.3169339597225189, 0.7868982553482056)","(0.5769969820976257, 0.8093684315681458, 0.15500830113887787, 0.9519503116607666)","(0.2760404646396637, 0.7702746987342834, 0.21315404772758484, 0.9550503492355347)"
6,"(0.7424300312995911, 0.43848225474357605, -0.22750820219516754, 0.9999995231628418)","(0.7474911212921143, 0.42830440402030945, -0.19363006949424744, 0.999998152256012)","(0.7467864751815796, 0.42802032828330994, -0.19363902509212494, 0.9999974370002747)","(0.7457122206687927, 0.4275866746902466, -0.19364912807941437, 0.9999973773956299)","(0.7439396381378174, 0.42637869715690613, -0.25335463881492615, 0.9999991059303284)","(0.740860104560852, 0.42469045519828796, -0.25331199169158936, 0.9999987483024597)","(0.7371620535850525, 0.4227425456047058, -0.25335580110549927, 0.9999986886978149)","(0.7217589616775513, 0.42309707403182983, -0.0069947256706655025, 0.9999920129776001)","(0.7094571590423584, 0.4152580201625824, -0.2791692018508911, 0.9999990463256836)","(0.7268453240394592, 0.44474613666534424, -0.15474358201026917, 0.9999972581863403)","(0.722173273563385, 0.44216567277908325, -0.23465831577777863, 0.9999990463256836)","(0.6608061194419861, 0.477629154920578, 0.1819177269935608, 0.9999937415122986)","(0.5838896036148071, 0.4360145330429077, -0.3214113116264343, 0.9999982714653015)","(0.6177627444267273, 0.5299911499023438, 0.31465962529182434, 0.7479336857795715)","(0.47468018531799316, 0.48087599873542786, -0.4070712924003601, 0.9985585808753967)","(0.7299752235412598, 0.5446218848228455, 0.23409314453601837, 0.980120062828064)","(0.4084087312221527, 0.534708559513092, -0.44817492365837097, 0.9973348379135132)","(0.7598628401756287, 0.5470545291900635, 0.2328541874885559, 0.9635089635848999)","(0.37993690371513367, 0.5484492778778076, -0.48556002974510193, 0.9929707646369934)","(0.7768344283103943, 0.5380706191062927, 0.18820606172084808, 0.9684608578681946)","(0.3948407471179962, 0.5544329285621643, -0.5082971453666687, 0.9927350282669067)","(0.7643234133720398, 0.5367149114608765, 0.21095189452171326, 0.9617607593536377)","(0.40668046474456787, 0.5511893630027771, -0.45425620675086975, 0.9883126020431519)","(0.539780855178833, 0.5952969193458557, 0.13805633783340454, 0.9999210238456726)","(0.4729008078575134, 0.5797516703605652, -0.13821916282176971, 0.999897837638855)","(0.500954270362854, 0.6908104419708252, 0.11992373317480087, 0.9451233744621277)","(0.4356709420681, 0.684679388999939, -0.09646698087453842, 0.9882035851478577)","(0.5146855115890503, 0.7906287312507629, 0.2601868510246277, 0.9428236484527588)","(0.30908840894699097, 0.7122482061386108, 0.37848252058029175, 0.9529451131820679)","(0.504198431968689, 0.8064716458320618, 0.2683241069316864, 0.8215219974517822)","(0.2920568585395813, 0.7107200622558594, 0.4253259003162384, 0.7674041986465454)","(0.5643971562385559, 0.8090426921844482, 0.16057273745536804, 0.9507166743278503)","(0.2832704186439514, 0.7639263272285461, 0.3584315776824951, 0.9453651905059814)"
7,"(0.7435058355331421, 0.43848150968551636, -0.23387019336223602, 0.9999995231628418)","(0.7485672235488892, 0.42841243743896484, -0.19976992905139923, 0.999998152256012)","(0.7478576898574829, 0.4281492531299591, -0.1997620165348053, 0.9999974370002747)","(0.746773898601532, 0.42773744463920593, -0.19975002110004425, 0.9999973773956299)","(0.7448810338973999, 0.4264931380748749, -0.26152002811431885, 0.9999991059303284)","(0.7417887449264526, 0.4248380959033966, -0.26147034764289856, 0.9999987483024597)","(0.7380467653274536, 0.42291173338890076, -0.2615097463130951, 0.9999986886978149)","(0.7229452133178711, 0.42354047298431396, -0.013993337750434875, 0.9999919533729553)","(0.7105357646942139, 0.4155769646167755, -0.2979167401790619, 0.9999991059303284)","(0.7276984453201294, 0.4447454512119293, -0.16024616360664368, 0.9999972581863403)","(0.7229303121566772, 0.44219961762428284, -0.24285690486431122, 0.9999990463256836)","(0.6607455015182495, 0.47761020064353943, 0.1784529685974121, 0.9999934434890747)","(0.584136426448822, 0.43615981936454773, -0.3462355434894562, 0.9999983310699463)","(0.6173803210258484, 0.5301963686943054, 0.2963419556617737, 0.7249534726142883)","(0.4747332036495209, 0.48104923963546753, -0.42263394594192505, 0.9986205697059631)","(0.722203254699707, 0.5441684126853943, 0.19422252476215363, 0.9784806370735168)","(0.4088054299354553, 0.5350435972213745, -0.4640502631664276, 0.9974678158760071)","(0.7528527975082397, 0.5446867346763611, 0.18958887457847595, 0.9616497159004211)","(0.38043075799942017, 0.5484879612922668, -0.5035797953605652, 0.9932969212532043)","(0.7719679474830627, 0.5367380976676941, 0.1496906876564026, 0.9668070077896118)","(0.39537492394447327, 0.5544999241828918, -0.5244072079658508, 0.9930896759033203)","(0.7583923935890198, 0.5358861684799194, 0.17199313640594482, 0.9597439169883728)","(0.40725255012512207, 0.5513030290603638, -0.4696086645126343, 0.9888544082641602)","(0.5403000712394714, 0.59548020362854, 0.14088162779808044, 0.9999221563339233)","(0.4732827842235565, 0.5803272128105164, -0.14103612303733826, 0.9998981356620789)","(0.5024884343147278, 0.6906281113624573, 0.12581171095371246, 0.9463182091712952)","(0.4362850487232208, 0.6852403283119202, -0.09745150059461594, 0.9886766076087952)","(0.5161489844322205, 0.7910630702972412, 0.2517237365245819, 0.9443086981773376)","(0.30749431252479553, 0.7123234272003174, 0.3306046426296234, 0.9524899125099182)","(0.5037680864334106, 0.8067097067832947, 0.25770094990730286, 0.8245174884796143)","(0.29042330384254456, 0.7107811570167542, 0.36808449029922485, 0.765630304813385)","(0.5850469470024109, 0.8091116547584534, 0.1448815017938614, 0.9513862133026123)","(0.28280821442604065, 0.7651189565658569, 0.27537426352500916, 0.9449387192726135)"
8,"(0.7441108226776123, 0.43847745656967163, -0.23359140753746033, 0.9999995231628418)","(0.749045729637146, 0.42845821380615234, -0.1993163675069809, 0.9999982118606567)","(0.7483169436454773, 0.42820611596107483, -0.1993090659379959, 0.9999974966049194)","(0.7472177147865295, 0.4278055429458618, -0.199298694729805, 0.9999974370002747)","(0.7453353404998779, 0.42654573917388916, -0.2606480121612549, 0.9999991655349731)","(0.7422352433204651, 0.4249110519886017, -0.2605980336666107, 0.9999988079071045)","(0.7384634017944336, 0.422996461391449, -0.2606315612792969, 0.9999987483024597)","(0.7233754992485046, 0.42379918694496155, -0.013697794638574123, 0.9999921321868896)","(0.7109593152999878, 0.41582611203193665, -0.2955111563205719, 0.9999991655349731)","(0.7281362414360046, 0.4447449743747711, -0.15991340577602386, 0.9999973177909851)","(0.7233696579933167, 0.44221964478492737, -0.24192366003990173, 0.9999991059303284)","(0.660915195941925, 0.47762972116470337, 0.18012811243534088, 0.9999932050704956)","(0.5843237638473511, 0.4363444447517395, -0.34411612153053284, 0.9999983906745911)","(0.617882251739502, 0.5311148166656494, 0.29902201890945435, 0.7073860168457031)","(0.47477400302886963, 0.4810994863510132, -0.4253341555595398, 0.9986696839332581)","(0.7226551175117493, 0.5438643097877502, 0.23257683217525482, 0.9771273732185364)","(0.40885239839553833, 0.5350341796875, -0.4671754240989685, 0.9975860714912415)","(0.7547580003738403, 0.5438933968544006, 0.23833665251731873, 0.9599367380142212)","(0.3804369270801544, 0.5481985807418823, -0.5038903951644897, 0.9936001896858215)","(0.7720099687576294, 0.5364425182342529, 0.2022838592529297, 0.9652828574180603)","(0.3955290913581848, 0.5543788075447083, -0.5299926400184631, 0.9934209585189819)","(0.7585192918777466, 0.5356510281562805, 0.21386347711086273, 0.9579991698265076)","(0.40739476680755615, 0.5512648224830627, -0.47409793734550476, 0.9893686175346375)","(0.5407996773719788, 0.5955566167831421, 0.14127185940742493, 0.9999247789382935)","(0.47349703311920166, 0.5804641842842102, -0.14142248034477234, 0.999900221824646)","(0.5027875304222107, 0.6906605362892151, 0.11207539588212967, 0.9488828778266907)","(0.43746089935302734, 0.6863154768943787, -0.10666938126087189, 0.9892237186431885)","(0.5167878866195679, 0.7913159728050232, 0.2404298186302185, 0.9467325806617737)","(0.306998074054718, 0.712309718132019, 0.3235607445240021, 0.952286958694458)","(0.50416499376297, 0.8068695664405823, 0.24725304543972015, 0.8290523886680603)","(0.29033225774765015, 0.7106946110725403, 0.363654226064682, 0.7632153034210205)","(0.5870966911315918, 0.8091747760772705, 0.14425960183143616, 0.9530060291290283)","(0.2825540602207184, 0.7656199932098389, 0.2812373638153076, 0.9449167847633362)"
9,"(0.7464547753334045, 0.4385468065738678, -0.26766613125801086, 0.9999995231628418)","(0.7509583234786987, 0.42875462770462036, -0.2295340746641159, 0.9999983310699463)","(0.7502169609069824, 0.42858582735061646, -0.2294798344373703, 0.9999976754188538)","(0.7491158843040466, 0.4282928705215454, -0.22946320474147797, 0.999997615814209)","(0.7471678853034973, 0.42667028307914734, -0.28731802105903625, 0.9999992251396179)","(0.7440793514251709, 0.42502766847610474, -0.28728628158569336, 0.9999988675117493)","(0.740283727645874, 0.4230874180793762, -0.28730344772338867, 0.9999988079071045)","(0.7259116768836975, 0.4246738851070404, -0.02704230695962906, 0.9999926090240479)","(0.712489128112793, 0.4159116744995117, -0.2975185811519623, 0.9999992251396179)","(0.7302902340888977, 0.4447663724422455, -0.18717721104621887, 0.9999974966049194)","(0.7258630394935608, 0.4422304928302765, -0.26518335938453674, 0.9999991655349731)","(0.6615683436393738, 0.478185772895813, 0.18010488152503967, 0.9999933838844299)","(0.5871772766113281, 0.43655070662498474, -0.3421790301799774, 0.9999984502792358)","(0.6281843185424805, 0.5330873131752014, 0.3351138234138489, 0.7149651050567627)","(0.4764014780521393, 0.4811185896396637, -0.46386608481407166, 0.9986749887466431)","(0.7377137541770935, 0.541600227355957, 0.30576813220977783, 0.9784936308860779)","(0.4103603661060333, 0.5350282192230225, -0.591727614402771, 0.997692883014679)","(0.7729067802429199, 0.5405166745185852, 0.31503912806510925, 0.9620110392570496)","(0.3815922737121582, 0.5482107400894165, -0.6375938057899475, 0.9938728213310242)","(0.7808748483657837, 0.5322109460830688, 0.27792802453041077, 0.9670718908309937)","(0.39671289920806885, 0.5544254779815674, -0.6556867957115173, 0.9937163591384888)","(0.7677868008613586, 0.5307729840278625, 0.28780701756477356, 0.960045576095581)","(0.4090224802494049, 0.5512717366218567, -0.5977514386177063, 0.9898411631584167)","(0.5415008068084717, 0.5964502096176147, 0.14192336797714233, 0.9999249577522278)","(0.47505250573158264, 0.5808430314064026, -0.14214324951171875, 0.9998997449874878)","(0.5040578246116638, 0.690612256526947, 0.14688856899738312, 0.94914311170578)","(0.439471572637558, 0.6862090229988098, -0.10598976910114288, 0.9891634583473206)","(0.5188807249069214, 0.7909303903579712, 0.3160572648048401, 0.9475646018981934)","(0.3074401319026947, 0.7130328416824341, 0.31823065876960754, 0.9527431130409241)","(0.5079548954963684, 0.8062987923622131, 0.32581576704978943, 0.8275320529937744)","(0.28982388973236084, 0.7107401490211487, 0.35919520258903503, 0.7648165822029114)","(0.5802910327911377, 0.8087052702903748, 0.21741756796836853, 0.9531185626983643)","(0.28230831027030945, 0.7672001123428345, 0.2685545086860657, 0.9456402659416199)"
